,o__Acholeplasmatales,o__Acidaminococcales,o__Actinomarinales,o__Bacteroidales,o__Bifidobacteriales,o__Burkholderiales,o__Cellvibrionales,o__Chloroplast,o__Clostridia_UCG.014,o__Clostridia_vadinBB60_group,o__Clostridiales,o__Coriobacteriales,o__Corynebacteriales,o__Coxiellales,o__Desulfovibrionales,o__Ectothiorhodospirales,o__Enterobacterales,o__Erysipelotrichales,o__Flavobacteriales,o__Fusobacteriales,o__Kiloniellales,o__Lachnospirales,o__Lactobacillales,o__Micrococcales,o__Monoglobales,o__Oscillospirales,o__Peptococcales,o__Peptostreptococcales.Tissierellales,o__Pirellulales,o__Planctomycetales,o__Pseudomonadales,o__Puniceispirillales,o__RF39,o__Rhodobacterales,o__Rhodospirillales,o__SAR11_clade,o__SAR86_clade,o__Sphingomonadales,o__Staphylococcales,o__Synechococcales,o__uncultured,o__Veillonellales.Selenomonadales,o__Verrucomicrobiales,o__Victivallales,o__Xanthomonadales
HN07_W24,0,0,0,31.1759947,3.33529455,0,0,0,0.014709127,0.095609326,0.757520041,1.926895639,0,0,0.83842024,0,0,0.665587997,0,0,0,17.71346621,40.19268956,0,0,3.008016474,0.047804663,0.216959623,0,0,0,0,0,0,0,0,0,0,0.011031845,0,0,0,0,0,0
HN09_W24,0,0,0,35.9232961,2.130161458,0,0,0,0.036181086,0.031658451,3.17036769,2.455791235,0,0,2.112070915,0,0,0.854778165,0,0,0,26.37601194,23.69408892,0,0,2.645741938,0.094975352,0.474876758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN10_W24,0,0,0,31.80668827,0.042736565,0,0,0,0.138893835,0.252858008,0.388190463,0.64104847,0,0,0.231489725,0,0,0.071227608,0,0,0,15.44570676,45.8955091,0,0.007122761,4.398304783,0.09259589,0.5448912,0,0,0,0,0,0,0,0,0,0,0.042736565,0,0,0,0,0,0
HN11_W24,0,0,0,41.08730159,8.662698413,0,0,0,0.041666667,0.06547619,2.5,3.323412698,0,0,0.43452381,0,0,1.545634921,0,0,0,1.763888889,39.26785714,0,0,0.859126984,0.029761905,0.398809524,0,0,0,0,0,0,0,0,0,0,0.011904762,0,0,0,0,0,0
HN12_W24,0,0,0,35.39508348,1.719651544,0,0,0,0.014545925,0.572139706,1.88127293,1.60490036,0,0,1.595203077,0,0,0.766085368,0,0,0,27.74231086,21.94818418,0,0,6.262828697,0.185864594,0.298999564,0,0,0,0,0,0,0,0,0,0,0.012929711,0,0,0,0,0,0
HN14_W24,0,0,0,36.17607516,0.091290853,0.645675303,0,0,0.004979501,0.03153684,0,0.745265324,0,0,0.682191644,0,0,2.011718426,0,0,0,43.96567464,11.9491427,0,0,2.924626952,0.13942603,0.370142912,0,0,0,0,0,0,0,0,0,0,0.262253722,0,0,0,0,0,0
HW01_W24,0,0,0,30.98756099,0.199299017,0,0,0,0.03092571,0.206171397,0,0.69754656,0,0,0.491375163,0,0,0.075596179,0,0,0,40.27214624,22.85409937,0,0,3.659542299,0.216479967,0.309257096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HW02_W24,0,0,0,38.86855506,0.875238701,0,0,0,0.019891789,0.151177594,0,1.249204328,0,0,0.501273074,0,0.401814131,0.354073838,0,0,0,14.05951623,40.96514959,0,0,1.925525143,0.12332909,0.453532782,0,0,0,0,0,0,0,0,0,0,0.051718651,0,0,0,0,0,0
HW05_W24,0,0,0,36.02427363,2.363001103,0,0,0,0.02758367,0.041375506,0,1.457337256,0,0,0.266642148,0,0.11493196,0.51949246,0,0,0,5.581095991,52.74457521,0,0,0.551673409,0.036778227,0.252850313,0,0,0,0,0,0,0,0,0,0,0.018389114,0,0,0,0,0,0
HW06_W24,0,0,0,36.48473636,1.860230426,0,0,0,0.079051383,0.22538054,0.048776386,0.72659995,0,0,0.111008326,0,0,0.706416618,0,0,0,11.73828946,45.7976621,0,0,1.907324868,0.075687495,0.227062484,0,0,0,0,0,0,0,0,0,0,0.005045833,0,0,0,0.006727777,0,0
